gene name,missense,frameshift,splice,nonsense,proteindel,silent,proteinins,intron,splice_region,total
RP11-40C6.2,0,0,0,0,0,0,0,0,0,0
XAGE1A,0,0,0,0,0,0,0,0,0,0
XAGE1B,0,1,0,0,0,0,0,0,0,1
RP5-940J5.9,0,0,0,0,0,0,0,0,0,0
IGHGP,0,0,0,0,0,0,0,0,0,0
CRABP2,24,0,0,3,0,6,0,0,1,34
FAM83A,75,1,4,4,0,35,0,0,0,119
SPP1,69,0,1,6,1,22,0,3,0,102
TMPRSS4,57,0,4,1,0,37,0,2,3,104
CEACAM5,140,5,2,5,0,71,1,2,5,231

RPS4Y1,7,1,1,2,0,2,0,0,0,13
FCN3,43,2,2,2,0,19,0,2,0,70
DEFA1B,0,0,0,0,0,0,0,0,0,0
BTNL9,75,3,1,4,0,40,0,7,1,131
DEFA1,0,0,0,0,0,0,0,0,0,0
IL1RL1,126,6,3,4,0,49,0,15,3,206
TMEM100,32,3,0,4,1,16,0,0,0,56
CA4,50,0,0,4,0,24,0,0,1,79
AGER,37,5,3,1,0,12,0,5,1,64
HBA1,8,4,0,2,0,10,0,2,0,26
