gene name,missense,frameshift,splice,nonsense,proteindel,silent,proteinins,intron,splice_region,total
RP11-40C6.2,0,0,0,0,0,0,0,0,0,0
CEACAM6,53,2,3,5,1,27,0,0,1,92
CEACAM5,140,5,2,5,0,71,1,2,5,231
LCN2,30,2,1,0,0,10,0,2,1,46
DPEP1,53,4,1,5,0,28,0,0,0,91
GPX2,29,4,0,2,0,7,0,0,0,42
EPCAM,34,0,4,2,0,13,0,7,1,61
S100P,7,1,0,0,1,6,0,0,0,15
PRAP1,0,0,0,0,0,1,0,0,0,1
CDH1,155,81,26,30,7,47,0,8,3,357

DES,80,1,3,5,0,31,0,4,1,125
MYH11,377,7,8,31,4,169,1,31,11,639
ACTG2,82,4,3,5,0,22,0,8,0,124
SYNM,185,8,0,20,1,77,0,1,0,292
RP11-394O4.5,0,0,0,0,0,0,0,0,0,0
CNN1,56,4,0,4,0,25,0,1,0,90
ADH1B,103,4,4,5,0,41,0,9,3,169
PSD,171,17,3,11,1,70,0,0,2,275
ADAM33,112,7,5,6,0,53,0,11,4,198
SPEG,511,43,6,35,3,251,0,18,4,871
