gene name,missense,frameshift,splice,nonsense,proteindel,silent,proteinins,intron,splice_region,total
RP11-40C6.2,0,0,0,0,0,0,0,0,0,0
CEACAM6,53,2,3,5,1,27,0,0,1,92
DPEP1,53,4,1,5,0,28,0,0,0,91
S100P,7,1,0,0,1,6,0,0,0,15
LCN2,30,2,1,0,0,10,0,2,1,46
CEACAM5,140,5,2,5,0,71,1,2,5,231
CLDN2,45,2,,1,0,22,0,0,0,70
ETV4,57,5,2,2,0,33,0,3,3,105
CDH3,94,4,2,7,0,40,0,5,3,155
MMP7,38,4,1,5,0,10,0,1,0,59

DES,80,1,3,5,0,31,0,4,1,125
MYH11,377,7,8,31,4,169,1,31,11,639
ACTG2,82,4,3,5,0,22,0,8,0,124
SYNM,185,8,0,20,1,77,0,1,0,292
ADH1B,103,4,4,5,0,41,0,9,3,169
RP11-394O4.5,0,0,0,0,0,0,0,0,0,0
CNN1,56,4,0,4,0,25,0,1,0,90
HSPB6,13,1,0,0,0,8,0,0,0,22
ADAM33,112,7,5,6,0,53,0,11,4,198
LMOD1,99,2,0,6,0,37,0,0,0,144
