gene name,geneID,log2,full name,chromosome location
RP11-40C6.2,ENSG00000219928.2,8.703,NULL,NULL
CEACAM6,ENSG00000086548.8,6.596,CEA cell adhesion molecule 6,19q13.2
DPEP1,ENSG00000015413.9,6.243,dipeptidase 1,16q24.3
S100P,ENSG00000163993.6,6.145,S100 calcium binding protein P,4p16.1
LCN2,ENSG00000148346.11,6.027,lipocalin 2,9q34.11
CEACAM5,ENSG00000105388.14,5.776,CEA cell adhesion molecule 5,19q13.2
CLDN2,ENSG00000165376.10,5.429,claudin 2,Xq22.3
ETV4,ENSG00000175832.12,5.297,ETS variant transcription factor 4,17q21.31
CDH3,ENSG00000062038.13,5.258,cadherin 3,16q22.1
MMP7,ENSG00000137673.8,5.129,matrix metallopeptidase 7,11q22.2

DES,ENSG00000175084.11,-8.427,desmin,2q35
MYH11,ENSG00000133392.16,-7.068,myosin heavy chain 11,16p13.11
ACTG2,ENSG00000163017.13,-7.012,actin gamma 2/ smooth muscle,2p13.1
SYNM,ENSG00000182253.14,-6.771,synemin,15q26.3
ADH1B,ENSG00000196616.12,-6.516,alcohol dehydrogenase 1B (class I)/beta polypeptide,4q23
RP11-394O4.5,ENSG00000269936.3,-6.452,NULL,NULL
CNN1,ENSG00000130176.7,-6.243,calponin 1,19p13.2
HSPB6,ENSG00000004776.11,-6.176,heat shock protein family B (small) member 6,19q13.12
ADAM33,ENSG00000149451.17,-5.97,ADAM metallopeptidase domain 33,20p13
LMOD1,ENSG00000163431.12,-5.782,leiomodin 1,1q32.1
